state,district,category,feature,value
Bihar,BEGUSARAI,School Profile,Schools in District,2.0
Uttar Pradesh,GORAKHPUR,School Profile,Schools in District,2.0
Madhya Pradesh,TIKAMGARH,School Profile,Schools in District,1.0
Puducherry,MAHE,School Profile,Schools in District,4.0
Assam,CHARAIDEO,School Profile,Schools in District,1.0
Madhya Pradesh,SIDHI,School Profile,Schools in District,2.0
Chhattisgarh,RAIPUR,School Profile,Schools in District,4.0
Telangana,WARANGAL,School Profile,Schools in District,5.0
Uttar Pradesh,SANT KABIR NAGAR,School Profile,Schools in District,1.0
Uttar Pradesh,BARABANKI,School Profile,Schools in District,2.0
Manipur,KAMJONG,School Profile,Schools in District,3.0
Assam,KOKRAJHAR,School Profile,Schools in District,4.0
West Bengal,KALIMPONG,School Profile,Schools in District,1.0
Maharashtra,NAGPUR,School Profile,Schools in District,4.0
Nagaland,KOHIMA,School Profile,Schools in District,10.0
Andhra Pradesh,KURNOOL,School Profile,Schools in District,7.0
Tamilnadu,TIRUVALLUR,School Profile,Schools in District,4.0
Telangana,VIKARABAD,School Profile,Schools in District,3.0
Chhattisgarh,JASHPUR,School Profile,Schools in District,5.0
Bihar,AURANGABAD (BIHAR),School Profile,Schools in District,3.0
Meghalaya,WEST GARO HILLS,School Profile,Schools in District,16.0
Gujarat,GIR SOMNATH,School Profile,Schools in District,2.0
Bihar,SHEOHAR,School Profile,Schools in District,1.0
Odisha,KENDRAPARA,School Profile,Schools in District,3.0
Rajasthan,TONK,School Profile,Schools in District,2.0
Nagaland,PHEK,School Profile,Schools in District,9.0
Andhra Pradesh,EAST GODAVARI,School Profile,Schools in District,10.0
Rajasthan,BUNDI,School Profile,Schools in District,2.0
Gujarat,MAHISAGAR,School Profile,Schools in District,3.0
Odisha,JAJPUR,School Profile,Schools in District,4.0
Uttar Pradesh,SITAPUR,School Profile,Schools in District,2.0
Himachal Pradesh,KANGRA,School Profile,Schools in District,17.0
Meghalaya,RI BHOI,School Profile,Schools in District,9.0
Uttar Pradesh,PILIBHIT,School Profile,Schools in District,1.0
Jammu & Kashmir,RAMBAN,School Profile,Schools in District,3.0
Madhya Pradesh,BURHANPUR,School Profile,Schools in District,1.0
West Bengal,SILIGURI,School Profile,Schools in District,1.0
