district,School Basic Sanitation,School Educational Infrastructure,School Facilities,School Physical Infrastructure,School Profile
sepahijala,7.0,8.0,3.0,4.0,5.0
sangrur,10.0,7.0,8.0,3.0,4.0
alipurduar,7.0,8.0,4.0,3.0,4.0
gwalior,7.0,5.0,7.0,3.0,2.0
uttar dinajpur,7.0,9.0,3.0,2.0,4.0
pashchim champaran,10.0,7.0,3.0,4.0,4.0
dhaulpur,7.0,6.0,6.0,3.0,4.0
bokaro,7.0,7.0,6.0,2.0,4.0
rajnandgaon,7.0,9.0,5.0,3.0,4.0
barwani,7.0,9.0,5.0,4.0,4.0
baragarh,10.0,9.0,5.0,3.0,4.0
surguja,7.0,9.0,5.0,3.0,4.0
bhadradri,7.0,10.0,5.0,2.0,4.0
tiruvarur,10.0,8.0,6.0,3.0,4.0
chamoli,7.0,9.0,5.0,2.0,4.0
darbhanga,10.0,8.0,2.0,3.0,4.0
mandi,10.0,9.0,6.0,2.0,5.0
jagtial,7.0,9.0,6.0,2.0,3.0
paschim medinipur,7.0,10.0,5.0,3.0,4.0
nabarangpur,10.0,10.0,4.0,4.0,4.0
jaisalmer,7.0,7.0,5.0,3.0,4.0
kangpokpi,6.0,8.0,3.0,4.0,4.0
mansa,10.0,8.0,8.0,3.0,4.0
purulia,7.0,9.0,3.0,3.0,4.0
mandla,7.0,10.0,5.0,4.0,4.0
kolkata,10.0,9.0,5.0,4.0,1.0
chirang,7.0,8.0,4.0,4.0,4.0
bulandshahr,7.0,6.0,5.0,3.0,4.0
mamit,7.0,7.0,6.0,4.0,4.0
kendrapara,10.0,9.0,5.0,3.0,4.0
gopalganj,7.0,6.0,3.0,3.0,4.0
guntur,7.0,8.0,6.0,3.0,3.0
east kameng,6.0,8.0,3.0,3.0,4.0
indore,7.0,3.0,6.0,3.0,2.0
kohima,8.0,6.0,6.0,3.0,3.0
imphal east,10.0,7.0,5.0,3.0,4.0
pakke kessang,6.0,9.0,3.0,4.0,4.0
south 24 parganas,7.0,9.0,4.0,3.0,4.0
jorhat,6.0,9.0,4.0,4.0,4.0
janjgir - champa,7.0,8.0,5.0,3.0,4.0
washim,7.0,9.0,6.0,3.0,4.0
burhanpur,7.0,8.0,5.0,3.0,4.0
hooghly,7.0,9.0,4.0,3.0,4.0
dumka,7.0,9.0,5.0,2.0,4.0
deogarh,9.0,9.0,5.0,3.0,4.0
thiruvananthapuram,10.0,7.0,9.0,3.0,3.0
alappuzha,7.0,8.0,9.0,3.0,4.0
ahmadnagar,7.0,9.0,8.0,3.0,4.0
purba bardhaman,7.0,10.0,4.0,3.0,4.0
nuapada,6.0,9.0,4.0,4.0,4.0
raigarh,7.0,9.0,5.0,3.0,4.0
gorakhpur,7.0,6.0,5.0,3.0,4.0
lakhisarai,10.0,8.0,3.0,3.0,4.0
west khasi hills,9.0,6.0,1.0,4.0,4.0
kulgam,7.0,8.0,3.0,3.0,4.0
champawat,7.0,8.0,5.0,2.0,4.0
ramgarh,10.0,6.0,5.0,3.0,3.0
damoh,10.0,8.0,6.0,3.0,4.0
bikaner,10.0,5.0,6.0,3.0,3.0
sundergarh,10.0,9.0,5.0,3.0,4.0
ujjain,7.0,6.0,5.0,3.0,3.0
mokokchung,7.0,8.0,5.0,3.0,3.0
kodagu,10.0,8.0,7.0,3.0,4.0
rajkot,7.0,5.0,9.0,3.0,3.0
palghar,7.0,8.0,7.0,3.0,4.0
panchkula,10.0,8.0,7.0,3.0,3.0
jajpur,10.0,8.0,5.0,3.0,4.0
gurdaspur,10.0,8.0,7.0,3.0,4.0
junagadh,10.0,7.0,7.0,3.0,3.0
vadodara,10.0,7.0,8.0,3.0,3.0
chandrapur,7.0,9.0,7.0,3.0,4.0
