Organization,State,Categories,Contact
17000 Ft Foundation,jammu & kashmir,Education,Tel:  9871100334 Email:  reach.us@17000ft.org Website:  http://www.17000ft.org
Abhivruddi Society For Social Development,karnataka,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9448370387 Email:  abhivrudditumkur@gmail.com Website:  http://www.abhivruddi.com 
Abhivyakti Foundation,jharkhand,"Agriculture, Education, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9801331700 Email:  avfoundation@rediffmail.com Website:  https://www.avfindia.org/
Abhivyakti Media For Development,maharashtra,"Education, Environment, Livelihood, Rural Development, Women Empowerment",Tel:  9422702353 Email:  abhivyakti1987@gmail.com Website:  http://www.abhivyakti.org.in
Accion Technical Advisors India,andhra pradesh,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,bihar,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,delhi,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,gujarat,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,haryana,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,jharkhand,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,karnataka,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,madhya pradesh,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,maharashtra,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,odisha,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,rajasthan,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,telangana,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,uttarakhand,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,uttar pradesh,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Accion Technical Advisors India,west bengal,"Education, Livelihood, Women Empowerment",Tel:  9769500292 Email:  dbard@accion.org Website:  http://www.accion.org 
Action For Autism,andhra pradesh,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,assam,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,chandigarh,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,chhattisgarh,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,delhi,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,goa,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,gujarat,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,haryana,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,karnataka,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,madhya pradesh,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,maharashtra,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,odisha,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,punjab,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,rajasthan,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,tamil nadu,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,uttar pradesh,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action For Autism,west bengal,"Education, Livelihood, Rural Development",Tel:  9810410600 Email:  afa.india@autism-india.org Website:  http://www.autism-india.org/
Action India,delhi,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9868438022 Email:  actionindia1976@gmail.com Website:  http://www.action-india.org/
Action India,punjab,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9868438022 Email:  actionindia1976@gmail.com Website:  http://www.action-india.org/
Action India,uttar pradesh,"Agriculture, Education, Environment, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9868438022 Email:  actionindia1976@gmail.com Website:  http://www.action-india.org/
Adarsh Seva Sansthan,jharkhand,"Education, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9431755933 Email:  ases.mailbox@gmail.com Website:  http://www.asesjsr.org
Aga Khan Rural Support Programme (India),bihar,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9825369710 Email:  coo@akrspi.org Website:  http://akrspindia.org.in/home_homepage
Aga Khan Rural Support Programme (India),gujarat,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9825369710 Email:  coo@akrspi.org Website:  http://akrspindia.org.in/home_homepage
Aga Khan Rural Support Programme (India),madhya pradesh,"Agriculture, Education, Environment, Forestry, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9825369710 Email:  coo@akrspi.org Website:  http://akrspindia.org.in/home_homepage
Aide Et Action (India),andhra pradesh,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),arunachal pradesh,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),assam,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),bihar,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),chhattisgarh,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),delhi,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),gujarat,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),haryana,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),jammu & kashmir,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),karnataka,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),kerala,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),madhya pradesh,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),maharashtra,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),manipur,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),meghalaya,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),odisha,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),punjab,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),rajasthan,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),tamil nadu,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),telangana,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),uttar pradesh,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Aide Et Action (India),west bengal,"Disaster Prevention, Education, Livelihood, Women Empowerment","Tel:  9963763111, 9940050215 Email:  info.india@aide-et-action.org Website:  http://www.aea-southasia.org"
Alamb,delhi,"Disaster Prevention, Education, Health, Livelihood, Women Empowerment",Tel:  9810562507 Email:  alamb.ngo@gmail.com Website:  http://www.alamb.org
All India Artisans And Craftworkers Welfare Association,delhi,"Environment, Livelihood, Rural Development, Women Empowerment",Tel:  8860039391 Email:  sreya@aiacaonline.org Website:  http://www.aiacaonline.org
All India Artisans And Craftworkers Welfare Association,nagaland,"Environment, Livelihood, Rural Development, Women Empowerment",Tel:  8860039391 Email:  sreya@aiacaonline.org Website:  http://www.aiacaonline.org
All India Artisans And Craftworkers Welfare Association,odisha,"Environment, Livelihood, Rural Development, Women Empowerment",Tel:  8860039391 Email:  sreya@aiacaonline.org Website:  http://www.aiacaonline.org
Ame Foundation,karnataka,Agriculture,Tel:  9481485172 Email:  amefbang@yahoo.co.in Website:  http://www.amefound.org
Ame Foundation,tamil nadu,Agriculture,Tel:  9481485172 Email:  amefbang@yahoo.co.in Website:  http://www.amefound.org
Ame Foundation,telangana,Agriculture,Tel:  9481485172 Email:  amefbang@yahoo.co.in Website:  http://www.amefound.org
Angel Xpress Foundation,maharashtra,Education,Tel:  9930070086 Email:  info@angelxpress.org Website:  https://angelxpress.org/
Arpana Research & Charities Trust,haryana,"Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818600644 Email:  communications@arpana.org Website:  http://www.arpanaservices.org
Arpana Research & Charities Trust,himachal pradesh,"Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9818600644 Email:  communications@arpana.org Website:  http://www.arpanaservices.org
Arpana Trust,delhi,"Education, Environment",Tel:  9818600644 Email:  at@arpana.org Website:  http://www.arpana.org
Arpana Trust,haryana,"Education, Environment",Tel:  9818600644 Email:  at@arpana.org Website:  http://www.arpana.org
Asha Deep Foundation,delhi,"Education, Health, Livelihood, Women Empowerment",Tel:  9810145064 Email:  jothichetty@adf.org.in Website:  http://www.adf.org.in
Asha Deep Foundation,haryana,"Education, Health, Livelihood, Women Empowerment",Tel:  9810145064 Email:  jothichetty@adf.org.in Website:  http://www.adf.org.in
Asha Deep Foundation,maharashtra,"Education, Health, Livelihood, Women Empowerment",Tel:  9810145064 Email:  jothichetty@adf.org.in Website:  http://www.adf.org.in
Asha Deep Foundation,uttar pradesh,"Education, Health, Livelihood, Women Empowerment",Tel:  9810145064 Email:  jothichetty@adf.org.in Website:  http://www.adf.org.in
Asha Jyothi,telangana,"Education, Health, Livelihood, Women Empowerment",Tel:  9741266800 Email:  sajijohn@ashajyothi.org.in Website:  http://www.ashajyothi.org.in/
Ashwini Charitable Trust,karnataka,"Education, Women Empowerment",Tel:  9845721841 Email:  act.trust@gmail.com Website:  https://www.ashwinitrust.org
"Association For Leprosy Education, Rehabilitation And Treatment India (ALERT INDIA)",jharkhand,"Education, Health",Tel:  9833051486 Email:  alertantony@gmail.com Website:  http://www.alertindia.org
"Association For Leprosy Education, Rehabilitation And Treatment India (ALERT INDIA)",maharashtra,"Education, Health",Tel:  9833051486 Email:  alertantony@gmail.com Website:  http://www.alertindia.org
Association For Rural And Tribal Development (ACTION),andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Forestry, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9440178531 Email:  actionap@gmail.com Website:  https://www.actionap.org
Atswa Trust,andhra pradesh,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9884474866 Email:  atswa.india2001@gmail.com Website:  http://www.atswatrust.org
Atswa Trust,tamil nadu,"Agriculture, Disaster Prevention, Education, Environment, Health, Livelihood, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9884474866 Email:  atswa.india2001@gmail.com Website:  http://www.atswatrust.org
Avalpoondurai Arimasanga Arakkattalai,tamil nadu,"Education, Environment, Health, Livelihood, Rural Development, Women Empowerment",Tel:  9345335454 Email:  lionsschool400pundurai400@gmail.com Website:  http://www.lionsschoolpoondurai.com
Avani,uttarakhand,"Agriculture, Education, Environment, Livelihood, Rural Development, Water, Sanitation & Hygiene",Tel:  9412092982 Email:  rajnish@avani-kumaon.org Website:  http://www.avani-kumaon.org
Aware Health And Research Foundation (AHRF),andhra pradesh,"Disaster Prevention, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9000801062 Email:  ahrf@aware-group.com Website:  http://www.aware-group.com
Aware Health And Research Foundation (AHRF),odisha,"Disaster Prevention, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9000801062 Email:  ahrf@aware-group.com Website:  http://www.aware-group.com
Aware Health And Research Foundation (AHRF),telangana,"Disaster Prevention, Health, Livelihood, Rural Development, Water, Sanitation & Hygiene, Women Empowerment",Tel:  9000801062 Email:  ahrf@aware-group.com Website:  http://www.aware-group.com
Azad Foundation,delhi,"Livelihood, Women Empowerment",Tel:  9999000646 Email:  meenu.vadera@azadfoundation.com Website:  http://www.azadfoundation.com
