state,district,category,feature,value
Andaman & Nicobar Islands,ANDAMANS,School Profile,num_schools,176
Andaman & Nicobar Islands,MIDDLE AND NORTH ANDAMANS,School Profile,num_schools,184
Andaman & Nicobar Islands,NICOBARS,School Profile,num_schools,58
Andhra Pradesh,ANANTAPUR,School Profile,num_schools,5226
Andhra Pradesh,CHITTOOR,School Profile,num_schools,6377
Andhra Pradesh,EAST GODAVARI,School Profile,num_schools,6290
Andhra Pradesh,GUNTUR,School Profile,num_schools,5090
Andhra Pradesh,KADAPA,School Profile,num_schools,4700
Andhra Pradesh,KRISHNA,School Profile,num_schools,4646
Andhra Pradesh,KURNOOL,School Profile,num_schools,4566
Andhra Pradesh,NELLORE,School Profile,num_schools,4646
Andhra Pradesh,PRAKASAM,School Profile,num_schools,4561
Andhra Pradesh,SRIKAKULAM,School Profile,num_schools,3977
Andhra Pradesh,VISAKHAPATNAM,School Profile,num_schools,5656
Andhra Pradesh,VIZIANAGARAM,School Profile,num_schools,3484
Andhra Pradesh,WEST GODAVARI,School Profile,num_schools,4605
Arunachal Pradesh,ANJAW,School Profile,num_schools,91
Arunachal Pradesh,CAPITAL COMPLEX ITANAGAR,School Profile,num_schools,142
Arunachal Pradesh,CHANGLANG,School Profile,num_schools,346
Arunachal Pradesh,DIBANG VALLEY,School Profile,num_schools,25
Arunachal Pradesh,EAST KAMENG,School Profile,num_schools,192
Arunachal Pradesh,EAST SIANG,School Profile,num_schools,162
Arunachal Pradesh,KAMLE,School Profile,num_schools,126
Arunachal Pradesh,KRA DADI,School Profile,num_schools,132
Arunachal Pradesh,KURUNG KUMEY,School Profile,num_schools,121
Arunachal Pradesh,LEPA RADA,School Profile,num_schools,63
Arunachal Pradesh,LOHIT,School Profile,num_schools,105
Arunachal Pradesh,LONGDING,School Profile,num_schools,107
Arunachal Pradesh,LOWER DIBANG VALLEY,School Profile,num_schools,101
Arunachal Pradesh,LOWER SIANG,School Profile,num_schools,82
Arunachal Pradesh,LOWER SUBANSIRI,School Profile,num_schools,150
Arunachal Pradesh,NAMSAI,School Profile,num_schools,221
Arunachal Pradesh,PAKKE KESSANG,School Profile,num_schools,51
Arunachal Pradesh,PAPUM PARE,School Profile,num_schools,264
Arunachal Pradesh,SHI YOMI,School Profile,num_schools,44
Arunachal Pradesh,SIANG,School Profile,num_schools,107
Arunachal Pradesh,TAWANG,School Profile,num_schools,131
Arunachal Pradesh,TIRAP,School Profile,num_schools,145
Arunachal Pradesh,UPPER SIANG,School Profile,num_schools,126
Arunachal Pradesh,UPPER SUBANSIRI,School Profile,num_schools,250
Arunachal Pradesh,WEST KAMENG,School Profile,num_schools,236
Arunachal Pradesh,WEST SIANG,School Profile,num_schools,146
Assam,BAKSA,School Profile,num_schools,2316
Assam,BARPETA,School Profile,num_schools,3444
Assam,BISWANATH,School Profile,num_schools,1481
Assam,BONGAIGAON,School Profile,num_schools,1502
Assam,CACHAR,School Profile,num_schools,3049
Assam,CHARAIDEO,School Profile,num_schools,904
Assam,CHIRANG,School Profile,num_schools,1254
Assam,DARRANG,School Profile,num_schools,1736
Assam,DHEMAJI,School Profile,num_schools,2186
Assam,DHUBRI,School Profile,num_schools,3432
Assam,DIBRUGARH,School Profile,num_schools,2106
Assam,DIMA HASAO,School Profile,num_schools,1074
Assam,GOALPARA,School Profile,num_schools,2458
Assam,GOLAGHAT,School Profile,num_schools,2024
Assam,HAILAKANDI,School Profile,num_schools,2788
Assam,HOJAI,School Profile,num_schools,1248
Assam,JORHAT,School Profile,num_schools,1783
Assam,KAMRUP-METRO,School Profile,num_schools,1122
Assam,KAMRUP-RURAL,School Profile,num_schools,3094
Assam,KARBI ANGLONG,School Profile,num_schools,1790
Assam,KARIMGANJ,School Profile,num_schools,2918
Assam,KOKRAJHAR,School Profile,num_schools,2634
Assam,LAKHIMPUR,School Profile,num_schools,3158
Assam,MAJULI,School Profile,num_schools,870
Assam,MORIGAON,School Profile,num_schools,1870
Assam,NAGAON,School Profile,num_schools,3171
Assam,NALBARI,School Profile,num_schools,1757
